Electoral District,Name,Party,Email,,
Coquitlam-Maillardville,Hon. Selina Robinson,BC NDP,Selina.Robinson.mla@leg.bc.ca,,
Nanaimo,Hon. Sheila Malcolmson,BC NDP,sheila.malcolmson.mla@leg.bc.ca,,
Delta South,Ian Paton,BC Liberal,Ian.Paton.MLA@leg.bc.ca,,
Fraser-Nicola,Jackie Tegart,BC Liberal,Jackie.Tegart.MLA@leg.bc.ca,,
Surrey-Fleetwood,Jagrup Brar,BC NDP,jagrup.brar.mla@leg.bc.ca,,
Burnaby North,Janet Routledge,BC NDP,janet.routledge.mla@leg.bc.ca,,
North Coast,Jennifer Rice,BC NDP,jennifer.rice.mla@leg.bc.ca,,
Surrey-Panorama,Jinny Sims,BC NDP,jinny.sims.mla@leg.bc.ca,,
Nechako Lakes,John Rustad,BC Liberal,John.Rustad.MLA@leg.bc.ca,,
West Vancouver-Sea to Sky,Jordan Sturdy,BC Liberal,Jordan.Sturdy.MLA@leg.bc.ca,,
West Vancouver-Capilano,Karin Kirkpatrick,BC Liberal,karin.kirkpatrick.MLA@leg.bc.ca,,
Burnaby-Lougheed,Katrina Chen,BC NDP,katrina.chen.mla@leg.bc.ca,,
Chilliwack-Kent,Kelli Paddon,BC NDP,Kelli.Paddon.mla@leg.bc.ca,,
Richmond-Steveston,Kelly Greene,BC NDP,Kelly.Greene.mla@leg.bc.ca,,
Cariboo-Chilcotin,Lorne Doerkson,BC Liberal,lorne.doerkson.MLA@leg.bc.ca,,
Vancouver-Kensington,Mable Elmore,BC NDP,mable.elmore.mla@leg.bc.ca,,
Langley East,Megan Dykeman,BC NDP,megan.dykeman@bcndp.ca,,
Abbotsford West,"Michael de Jong, Q.C.",BC Liberal,Mike.deJong.MLA@leg.bc.ca,,
Vancouver-Langara,Michael Lee,BC Liberal,Michael.Lee.MLA@leg.bc.ca,,
North Island,Michele Babchuk,BC NDP,Michele.Babchuk.mla@leg.bc.ca,,
Peace River South,Mike Bernier,BC Liberal,Mike.Bernier.MLA@leg.bc.ca,,
Prince George-Mackenzie,Mike Morris,BC Liberal,Mike.Morris.MLA@leg.bc.ca,,
Surrey-Cloverdale,Mike Starchuk,BC NDP,Mike.Starchuk.mla@leg.bc.ca,,
Stikine,Nathan Cullen,BC NDP,Nathan.Cullen.mla@leg.bc.ca,,
Vancouver-Hastings,Niki Sharma,BC NDP,Niki.Sharma.mla@leg.bc.ca,,
Kelowna-Lake Country,Norm Letnick,BC Liberal,norm.letnick.MLA@leg.bc.ca,,
Abbotsford-Mission,Pam Alexis,BC NDP,pam.alexis.mla@leg.bc.ca,,
Kamloops-North Thompson,Peter Milobar,BC Liberal,Peter.Milobar.MLA@leg.bc.ca,,
Surrey-Green Timbers,Rachna Singh,BC NDP,rachna.singh@bcndp.ca,,
Burnaby-Edmonds,Raj Chouhan,BC NDP,raj.chouhan.mla@leg.bc.ca,,
Kelowna-Mission,Renee Merrifield,BC Liberal,renee.merrifield.MLA@leg.bc.ca,,
Port Moody-Coquitlam,Rick Glumac,BC NDP,rick.glumac.mla@leg.bc.ca,,
Boundary-Similkameen,Roly Russell,BC NDP,Roly.Russell.mla@leg.bc.ca,,
Courtenay-Comox,Ronna-Rae Leonard,BC NDP,Ronna-Rae.Leonard.MLA@leg.bc.ca,,
Prince George-Valemount,Shirley Bond,BC Liberal,Shirley.Bond.MLA@leg.bc.ca,,
Richmond-Queensborough,Singh Aman,BC NDP,Aman.Singh.mla@leg.bc.ca,,
Cowichan Valley,Sonia Furstenau,BC Green,sonia.furstenau.mla@leg.bc.ca,,
Vancouver-West End,Spencer Chandra Herbert,BC NDP,s.chandraherbert.mla@leg.bc.ca,,
Surrey South,Stephanie Cadieux,BC Liberal,stephanie.cadieux.MLA@leg.bc.ca,,
North Vancouver-Seymour,Susie Chant,BC NDP,Susie.Chant.mla@leg.bc.ca,,
Richmond North Centre,Teresa Wat,BC Liberal,Teresa.Wat.MLA@leg.bc.ca,,
Kamloops-South Thompson,Todd Stone,BC Liberal,Todd.Stone.MLA@leg.bc.ca,,
Kootenay East,Tom Shypitka,BC Liberal,Tom.Shypitka.MLA@leg.bc.ca,,
Surrey-White Rock,Trevor Halford,BC Liberal,trevor.halford.MLA@leg.bc.ca,,
